iter	Passed	Remaining
0	2	255
1	4	236
2	7	239
3	9	231
4	11	227
5	14	223
6	16	218
7	18	212
8	20	209
9	22	206
10	25	204
11	27	202
12	29	197
13	31	193
14	33	190
15	35	188
16	38	186
17	41	187
18	43	184
19	45	182
20	47	179
21	50	177
22	52	176
23	55	174
24	57	172
25	60	170
26	62	168
27	64	165
28	66	162
29	70	164
30	72	161
31	74	158
32	76	155
33	78	152
34	81	151
35	84	149
36	86	147
37	88	144
38	90	142
39	93	139
40	95	137
41	96	133
42	99	131
43	102	129
44	104	127
45	107	125
46	110	124
47	112	121
48	115	119
49	117	117
50	119	115
51	122	112
52	124	110
53	126	108
54	129	105
55	131	103
56	133	100
57	135	98
58	137	95
59	139	93
60	142	90
61	144	88
62	146	86
63	148	83
64	150	81
65	153	78
66	155	76
67	157	74
68	161	72
69	163	70
70	166	67
71	168	65
72	170	63
73	172	60
74	174	58
75	176	55
76	178	53
77	180	50
78	183	48
79	185	46
80	187	44
81	190	41
82	192	39
83	194	37
84	196	34
85	198	32
86	201	30
87	203	27
88	205	25
89	207	23
90	209	20
91	211	18
92	213	16
93	216	13
94	218	11
95	220	9
96	223	6
97	225	4
98	227	2
99	229	0
